"Course ID","Course Title","Credits","Core Code","Subject"
" "," "," "," "," "
"01:195:282","MUSIC, CULTURE, AND MEMORY IN THE FRENCH SPEAKING WORLD","3","AHr,HST","Comparative Literature"
"01:351:209","INTRODUCTION TO MULTIMEDIA COMPOSITION","3","AHr","English - Creative Writing"
"01:351:211","INTRODUCTION TO CREATIVE WRITING","3","AHr","English - Creative Writing"
"01:351:212","INTRODUCTION TO CREATIVE WRITING","3","AHr","English - Creative Writing"
"01:355:410","COMPOSING GRAPHIC NARRATIVES","3","AHr,WCd,WCr","English - Composition and Writing"
"01:420:282","MUSIC, CULTURE, AND MEMORY IN THE FRENCH SPEAKING WORLD","3","AHr,HST","French"
